QUERY,L,LAT,SUBJECT_CODES_1,SUBJECT_CODES_2,SUBJECT_CODES_3,SUBJECT_CODES_4,SUBJECT_CODES_5,SUBJECT_CODES_6,SORT_BY,LOC,C,RAD,LQ,PAGE,LNG,SEN_COURSES,DEGREE_REQUIRED,FUNDING,FULLTIME,HAS_VACANCIES,PARTTIME,CAN_SPONSOR_VISA,QUALIFICATIONS
"",1,,,,,,,,,,,,Dundee,,,,,,,,,,
"",1,,,,,,,,,,,,London,,,,,,,,,,
,1,50.7855508,C1,F1,F3,,,,2,"Napier Rd, Southsea, Portsmouth, Southsea PO5, UK",England,50,"Napier Road, Southsea, Portsmouth, Southsea PO5 2RB",,-1.0798252,,,,,,,,
,1,53.700621,C1,,,,,,2,"Oaklands Dr, Rawtenstall, Rossendale BB4 6SA, UK",England,50,"Oaklands Drive, Rawtenstall, Rossendale BB4 6SA",,-2.3019179,,show_all_courses,,true,true,false,,"PgdePgceWithQts,Other"
,1,53.38112899999999,,,,,,,2,"Sheffield, UK",England,50,Sheffield,3,-1.470085,true,,,,,,,
,1,51.4828358,03,G1,,,,,2,"London Borough of Hounslow, UK",England,50,Hounslow,2,-0.3882062,,,,,,,,
,1,52.3951129,00,W1,41,,,,2,"Solihull B90, UK",England,50,Solihull B90,,-1.8308304,,,,,,,,
,1,53.700621,C1,,,,,,2,"Oaklands Dr, Rawtenstall, Rossendale BB4 6SA, UK",England,50,"Oaklands Drive, Rawtenstall, Rossendale BB4 6SA",,-2.3019179,,show_all_courses,,true,true,false,,"PgdePgceWithQts,Other"
,2,,00,04,W3,15,,,,,England,,,,,,show_all_courses,8,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,52.0629009,00,,,,,,2,"Banbury, UK",England,50,Banbury,,-1.339775,,show_all_courses,8,true,true,true,,PgdePgceWithQts
,1,51.5073509,C8,,,,,,2,"London, UK",England,50,London,,-0.1277583,,,,,,,,
,1,52.0629009,00,,,,,,2,"Banbury, UK",England,50,Banbury,,-1.339775,,show_all_courses,8,true,true,true,,PgdePgceWithQts
,1,51.4304099,,,,,,,2,"Shaw Rd, Bromley BR1 5NW, UK",England,50,BR15NW ,,0.0072017,,,,,,,,
,1,51.4212334,C6,,,,,,2,"Avon Rd, Sunbury-on-Thames TW16 7TB, UK",England,50,"Avon Road, Sunbury-on-Thames TW16 7TB",,-0.425363,,show_all_courses,8,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
Seven Kings Learning Partnership,3,,F1,F0,,,,,,,,,,,,,,,,,,,
,1,53.44109659999999,00,06,,,,,2,"Webster Cl, Kimberworth, Rotherham S61 2BW, UK",England,50,"Webster Close, Rotherham S61 2BW",2,-1.4073252,,,,false,true,false,,"QtsOnly,PgdePgceWithQts,Other"
,1,50.7146673,Q3,,,,,,2,"Liberty Way, Poole BH15 1YA, UK",England,50,BH15 1YA,,-1.9780713,,,,,,,,
Inspire Partnership,3,,00,,,,,,,,,,,,,,,,,,,,
"",1,,,,,,,,,,,,Accrington BB5,,,,,,,,,,
,1,53.3795449,00,,,,,,2,"Hazel Grove, Stockport SK7 5DX, UK",England,50,"Hazel Grove, Stockport SK7 5DX",2,-2.138214,,,,,,,,
,1,52.6336344,41,,,,,,2,"Swaffham PE37 8GG, UK",England,50,Swaffham PE37 8GG,,0.6954562000000001,,,,,,,,
,1,50.7855508,C1,F1,F3,,,,2,"Napier Rd, Southsea, Portsmouth, Southsea PO5, UK",England,50,"Napier Road, Southsea, Portsmouth, Southsea PO5 2RB",,-1.0798252,,,,,,,,
,1,50.7146673,Q3,,,,,,2,"Liberty Way, Poole BH15 1YA, UK",England,50,BH15 1YA,,-1.9780713,,,,,,,,
,1,51.4436198,00,01,02,03,06,07,2,"Earlsfield Rd, London SW18 3DG, UK",England,50,"Earlsfield Road, London SW18 3DG",,-0.1874799,,,,,,,,
,1,51.4454617,13,Q3,41,,,,2,"The Vista, London SE9 5RL, UK",England,50,"The Vista, London SE9 5RL",,0.0426328,,two_two,8,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,50.7146673,Q3,,,,,,2,"Liberty Way, Poole BH15 1YA, UK",England,50,BH15 1YA,,-1.9780713,,,,,,,,
,1,53.32871249999999,00,01,,,,,2,"Racecourse Rd, Wilmslow SK9 5LW, UK",England,50,SK9 5LW ,,-2.2537525,,,,,,,,
,1,53.7745537,C1,F1,,,,,2,"Birch Ln, Bradford BD5, UK",England,50,"Birch Lane, Bradford BD5 8PF",,-1.7492046,,,,,,,,
,1,51.5073509,C6,,,,,,2,"London, UK",England,50,London,,-0.1277583,,,,,,,,
"",1,,,,,,,,,,,,Keighley,,,,,,,,,,
Sheffield Hallam University,3,,41,,,,,,,,,,,,,,,,,,,,
,2,,C1,C6,,,,,,,,,,3,,,two_two,,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,52.2545225,00,,,,,,2,"Worcestershire, UK",England,50,Worcestershire,7,-2.2668382,,,,false,true,false,,"QtsOnly,PgdePgceWithQts,Other"
,1,53.8007554,41,,,,,,2,"Leeds, UK",England,50,Leeds,,-1.5490774,true,,,false,true,false,,"QtsOnly,PgdePgceWithQts,Other"
,1,51.54615,C8,,,,,,2,"Durham Rd, Dagenham RM10 8AN, UK",England,50,RM10 8AN,,0.1643679,,show_all_courses,,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,52.6336344,41,,,,,,2,"Swaffham PE37 8GG, UK",England,50,Swaffham PE37 8GG,,0.6954562000000001,,,,,,,,
,1,52.2545225,00,,,,,,2,"Worcestershire, UK",England,50,Worcestershire,7,-2.2668382,,,,false,true,false,,"QtsOnly,PgdePgceWithQts,Other"
,1,53.4083714,C6,V6,,,,,2,"Liverpool, UK",England,50,Liverpool,,-2.9915726,,,,,,,,
,2,,03,,,,,,,,,,,2,,,,,false,true,false,,"QtsOnly,PgdePgceWithQts,Other"
"",1,,,,,,,,,,,,"Whitehall Close, Uxbridge UB8 2DJ",,,,,,,,,,
,1,51.6116604,G1,,,,,,2,"Clarendon Rd, London N18 2AH, UK",England,50,"Clarendon Road, London N18 2AH",,-0.0625844,,,,,,,,
"",1,,,,,,,,,,,,"Tompions End, Ickwell, Biggleswade SG18 9EN",,,,,,,,,,
,1,56.462018,C8,,,,,,2,"Dundee, UK",Scotland,50,Dundee,,-2.970721,,,,,,,,
,1,52.18923700000001,00,,,,,,2,"Rush Grove, Cambridge CB1 9NF, UK",England,50,cb1 9nf,3,0.1818901,,show_all_courses,,true,true,false,,PgdePgceWithQts
,1,51.3780921,F1,,,,,,2,"Millmead Rd, Bath BA2 3JP, UK",England,50,"Millmead Road, Bath BA2 3JP",,-2.3835228,,,,,,,,
,1,51.54615,C8,,,,,,2,"Durham Rd, Dagenham RM10 8AN, UK",England,50,RM10 8AN,,0.1643679,,show_all_courses,,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,50.2821431,00,02,04,,,,2,"Gover Cl, Mount Hawke, Truro TR4 8DB, UK",England,50,"Gover Close, Mount Hawke, Truro TR4 8DB",,-5.2036516,,,,,,,,
,1,53.76762360000001,00,03,,,,,2,"Hull, UK",England,50,Hull,,-0.3274198,,,,,,,,
"",1,,,,,,,,,,,,"Shaw Road, Bromley BR1 5NW",,,,,,,,,,
Sheffield Hallam University,3,,C6,,,,,,,,,,,,,,,,,,,,
,1,51.5073509,C6,,,,,,2,"London, UK",England,50,London,,-0.1277583,,,,,,,,
,1,51.1464659,G1,,,,,,2,"Ashford, UK",England,50,Ashford,5,0.875019,,,,,,,,
,2,,W1,41,,,,,,,,,,3,,,,,,,,,
,1,51.6116604,G1,,,,,,2,"Clarendon Rd, London N18 2AH, UK",England,50,"Clarendon Road, London N18 2AH",,-0.0625844,,,,,,,,
