name,code
Art and design,W1
Science,F0
Biology,C1
Business studies,08
Chemistry,F1
Citizenship,09
Classics,Q8
Communication and media studies,P3
Computing,11
Dance,12
Design and technology,DT
Drama,13
Economics,L1
English,Q3
Geography,F8
Health and social care,L5
History,V1
Mathematics,G1
Music,W3
Philosophy,P1
Physical education,C6
Physics,F3
Psychology,C8
Religious education,V6
Social sciences,14
French,15
English as a second or other language,16
German,17
Italian,18
Japanese,19
Mandarin,20
Russian,21
Spanish,22
Modern languages (other),24
